
================================================================================
EXPERIMENT LOG
================================================================================
Experiment Name: deterministic_translate_backoff
Start Time: 2025-12-07T14:11:52.930149

GIT INFORMATION:
  Commit:  f50706e3b2fc3bb2d641fdcef52ab32d6c62af24
  Branch:  main
  Remote:  https://github.com/alainwelliver/deep-learning-speedrun-project.git
  Dirty:   True
  
GPU INFORMATION:
  CUDA Available: True
  Device Count:   1
  CUDA Version:   12.8
  PyTorch:        2.8.0+cu128
  Device 0: NVIDIA A100 80GB PCIe (85.0 GB)

================================================================================

[2025-12-07 14:11:52.930] [INFO] Starting experiment: deterministic_translate_backoff
[2025-12-07 14:11:52.930] [INFO] Configuration file: configs/deterministic_translate_backoff.json
[2025-12-07 14:11:52.930] [INFO] Module: airbench94_deterministic_with_backoff
[2025-12-07 14:11:52.930] [INFO] Number of runs: 100
[2025-12-07 14:11:52.930] [INFO] Base seed: 42
[2025-12-07 14:11:52.930] [INFO] Hypothesis: Using deterministic translation only in the early epochs and backing off to flip-only augmentation later reduces per-epoch compute while preserving accuracy.
[2025-12-07 14:11:52.930] [INFO] Modification: Deterministic 2-pixel translation for epochs 0–6, then turn off translation (flip-only) from epoch 7 onward using a backoff schedule in the CifarLoader.
[2025-12-07 14:11:52.931] [INFO] Hyperparameters saved to hyperparameters.json
[2025-12-07 14:11:52.931] [INFO] Hyperparameters: {
  "experiment_name": "deterministic_translate_backoff",
  "hypothesis": "Using deterministic translation only in the early epochs and backing off to flip-only augmentation later reduces per-epoch compute while preserving accuracy.",
  "modification": "Deterministic 2-pixel translation for epochs 0\u20136, then turn off translation (flip-only) from epoch 7 onward using a backoff schedule in the CifarLoader.",
  "description": "This experiment extends deterministic translation augmentation with a simple curriculum: early in training, each epoch uses deterministic translation based on hash(image_index) + epoch with grouped indices for efficiency. After a fixed backoff epoch (7), the loader no longer applies translation, only flip (with alternating flip between epochs). This aims to retain the benefits of stronger augmentation early while reducing augmentation overhead late in training, potentially lowering average runtime per run.",
  "base_seed": 42,
  "batch_size": 1024,
  "learning_rate": 11.5,
  "epochs": 9.9,
  "momentum": 0.85,
  "weight_decay": 0.0153,
  "bias_scaler": 64.0,
  "label_smoothing": 0.2,
  "whiten_bias_epochs": 3,
  "augmentation": {
    "flip": true,
    "translate": 2,
    "deterministic_translate": true,
    "translate_backoff_epoch": 7
  },
  "target_accuracy": 0.94,
  "baseline_accuracy": 0.9401,
  "baseline_std": 0.0014,
  "baseline_n": 100,
  "implementation_notes": [
    "Uses experiments/airbench94_deterministic_with_backoff.py as the module.",
    "Data loader applies deterministic translation only while epoch < translate_backoff_epoch.",
    "After backoff, only flip augmentation is used (still with alternating flip per epoch).",
    "Grouped index implementation is reused from deterministic_translate_opt1 for efficiency."
  ]
}
[2025-12-07 14:11:52.931] [INFO] Loading and configuring airbench94_deterministic_with_backoff...
[2025-12-07 14:11:53.667] [INFO] Effective augmentation config: {'flip': True, 'translate': 2, 'deterministic_translate': True, 'translate_backoff_epoch': 7}
[2025-12-07 14:11:53.667] [INFO] Running warmup...
[2025-12-07 14:12:04.489] [INFO] Warmup complete
[2025-12-07 14:12:04.489] [INFO] ================================================================================
[2025-12-07 14:12:04.489] [INFO] Starting 100 training runs...
[2025-12-07 14:12:04.489] [INFO] ================================================================================
[2025-12-07 14:12:04.489] [INFO] Starting run 0 with seed 42
[2025-12-07 14:12:08.870] [INFO] Run 0 complete: accuracy=0.9404, time=4.38s, seed=42
[2025-12-07 14:12:08.870] [INFO] Starting run 1 with seed 43
[2025-12-07 14:12:13.239] [INFO] Run 1 complete: accuracy=0.9416, time=4.37s, seed=43
[2025-12-07 14:12:13.239] [INFO] Starting run 2 with seed 44
[2025-12-07 14:12:17.611] [INFO] Run 2 complete: accuracy=0.9388, time=4.37s, seed=44
[2025-12-07 14:12:17.611] [INFO] Starting run 3 with seed 45
[2025-12-07 14:12:21.990] [INFO] Run 3 complete: accuracy=0.9400, time=4.38s, seed=45
[2025-12-07 14:12:21.990] [INFO] Starting run 4 with seed 46
[2025-12-07 14:12:26.364] [INFO] Run 4 complete: accuracy=0.9386, time=4.37s, seed=46
[2025-12-07 14:12:26.364] [INFO] Progress: 5/100 runs completed (5 successful)
[2025-12-07 14:12:26.364] [INFO] Starting run 5 with seed 47
[2025-12-07 14:12:30.750] [INFO] Run 5 complete: accuracy=0.9398, time=4.38s, seed=47
[2025-12-07 14:12:30.750] [INFO] Starting run 6 with seed 48
[2025-12-07 14:12:35.125] [INFO] Run 6 complete: accuracy=0.9408, time=4.38s, seed=48
[2025-12-07 14:12:35.125] [INFO] Starting run 7 with seed 49
[2025-12-07 14:12:39.551] [INFO] Run 7 complete: accuracy=0.9399, time=4.42s, seed=49
[2025-12-07 14:12:39.551] [INFO] Starting run 8 with seed 50
[2025-12-07 14:12:43.952] [INFO] Run 8 complete: accuracy=0.9399, time=4.40s, seed=50
[2025-12-07 14:12:43.952] [INFO] Starting run 9 with seed 51
[2025-12-07 14:12:48.356] [INFO] Run 9 complete: accuracy=0.9393, time=4.40s, seed=51
[2025-12-07 14:12:48.356] [INFO] Progress: 10/100 runs completed (10 successful)
[2025-12-07 14:12:48.356] [INFO] Starting run 10 with seed 52
[2025-12-07 14:12:52.748] [INFO] Run 10 complete: accuracy=0.9422, time=4.39s, seed=52
[2025-12-07 14:12:52.748] [INFO] Starting run 11 with seed 53
[2025-12-07 14:12:57.177] [INFO] Run 11 complete: accuracy=0.9388, time=4.43s, seed=53
[2025-12-07 14:12:57.177] [INFO] Starting run 12 with seed 54
[2025-12-07 14:13:01.565] [INFO] Run 12 complete: accuracy=0.9424, time=4.39s, seed=54
[2025-12-07 14:13:01.565] [INFO] Starting run 13 with seed 55
[2025-12-07 14:13:05.973] [INFO] Run 13 complete: accuracy=0.9387, time=4.41s, seed=55
[2025-12-07 14:13:05.973] [INFO] Starting run 14 with seed 56
[2025-12-07 14:13:10.362] [INFO] Run 14 complete: accuracy=0.9387, time=4.39s, seed=56
[2025-12-07 14:13:10.362] [INFO] Progress: 15/100 runs completed (15 successful)
[2025-12-07 14:13:10.362] [INFO] Starting run 15 with seed 57
[2025-12-07 14:13:14.764] [INFO] Run 15 complete: accuracy=0.9403, time=4.40s, seed=57
[2025-12-07 14:13:14.764] [INFO] Starting run 16 with seed 58
[2025-12-07 14:13:19.175] [INFO] Run 16 complete: accuracy=0.9393, time=4.41s, seed=58
[2025-12-07 14:13:19.175] [INFO] Starting run 17 with seed 59
[2025-12-07 14:13:23.568] [INFO] Run 17 complete: accuracy=0.9406, time=4.39s, seed=59
[2025-12-07 14:13:23.568] [INFO] Starting run 18 with seed 60
